target_set,shape_id,readable_shape,step,classification,accuracy,majority_vote
1,0,1111-1111-1001,0,0;0;2-3;0;2-0;1;0-1;1;1-2;1;1-3;1;0-0;2;2-1;2;2-2;2;2-3;2;2,0.2,2
1,0,1111-1111-1001,1,0;0;2-3;0;2-0;1;0-1;1;1-2;1;1-3;1;0-0;2;0-1;2;2-2;2;2-3;2;0,0.4,0
1,0,1111-1111-1001,2,0;0;2-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;2-2;2;2-3;2;0,0.6,0
1,0,1111-1111-1001,3,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,0,1111-1111-1001,4,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,5,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,6,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,7,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,8,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,9,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,10,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,11,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,12,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,13,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,14,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,15,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,16,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,17,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,18,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,19,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,20,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
